Creation policy of v1.1 [Simple version] ,,,,
"The important thing is to respect the Constitution of the Constitutional Convention, not to make any essential changes to it, and to focus only on simplifying it. The aim is not to deny the Constitution of the Constitutional Convention, but to strengthen it by simplifying it.",,,,
1. Carefully correct duplicated and redundant expressions to make them simple. Carefully confirm that there are no changes to the intended content or effect from the version approved by the Constitutional Convention.,,,,
"2. We remove language that we believe will have no practical effect if removed, and we are careful to make sure that no one is harmed by this removal.",,,,
3. No new ideas added. v1.1 will focus on simplification.,,,,
4. We will be ignoring Guardrails and TENET in order to focus on submitting v1.1 for GA in January or February.,,,,
https://docs.google.com/document/d/1o9B3JsYAdTF1ycEkRcAWm_i095Ns7CBd_fxJiU6G0iY/edit?tab=t.0#heading=h.4h2z8okq9vgc,,,,
v1.0,v1.1,,Diff & Reason,
"Members of the Constitutional Committee shall serve such term lengths as shall be determined from time to time by owners of ada as consistent with the minimum and maximum term lengths as set forth in the Cardano Blockchain Guardrails Appendix. To assure continuity in the operation of the Constitutional Committee, the terms for Constitutional Committee members shall be staggered.","Members of the Constitutional Committee shall serve such term lengths as shall be determined from time to time by owners of ada as consistent with the minimum and maximum term lengths as set forth in the Cardano Blockchain Guardrails Appendix. To assure continuity in the operation of the Constitutional Committee, the terms for Constitutional Committee members shall be staggered.",TRUE,,OK
Section 3,-,FALSE,,OK
The Cardano Community shall establish and make public a process from time to time for election of members of the Constitutional Committee consistent with the requirements of the Guardrails.,-,FALSE,"ARTICLE V Section 4, ARTICLE VII Section 3, and Section 7, which state our expectations of the Cardano community, will be consolidated into ARTICLE III Section 6.",OK
Section 4,Section 3,FALSE,,OK
"No governance action, other than a ""Motion of no confidence,"" or ""Update Constitutional Committee/threshold and/or term"" may be implemented on-chain unless a requisite percentage of the members of the Constitutional Committee as specified by the Guardrails shall have first determined and affirmed through an on-chain action that such proposal does not violate this Constitution. Each Constitutional Committee member shall have one vote.","No governance action, other than a ""Motion of no confidence,"" or ""Update Constitutional Committee/threshold and/or term"" may be implemented on-chain unless a requisite percentage of the members of the Constitutional Committee as specified by the Guardrails shall have first determined and affirmed through an on-chain action that such proposal does not violate this Constitution. Each Constitutional Committee member shall have one vote.",TRUE,,OK
"Because ""Info"" actions have no on-chain effect and, accordingly, are neither constitutional nor unconstitutional, Constitutional Committee members may not prevent ""Info"" actions from being recorded on-chain. Members of the Constitutional Committee may nevertheless record a vote on-chain regarding an ""Info"" action in order to express their view on such ""Info"" action, including whether the suggested course of action proposed in such ""Info"" action, would be, in the view of such member, unconstitutional if it were to be enforced by on-chain mechanisms.","Because ""Info"" actions have no on-chain effect and, accordingly, are neither constitutional nor unconstitutional, Constitutional Committee members may not prevent ""Info"" actions from being recorded on-chain. Members of the Constitutional Committee may nevertheless record a vote on-chain regarding an ""Info"" action in order to express their view on such ""Info"" action, including whether the suggested course of action proposed in such ""Info"" action, would be, in the view of such member, unconstitutional if it were to be enforced by on-chain mechanisms.",TRUE,,OK
"In the case of ""Info"" actions that propose a Cardano Blockchain ecosystem budget, Constitutional Committee members shall record a vote on-chain that sets forth their opinion as to whether the proposed budget, if it were to be implemented in the form contained in the ""Info"" action, would violate this Constitution.","In the case of ""Info"" actions that propose a Cardano Blockchain ecosystem budget, Constitutional Committee members shall record a vote on-chain that sets forth their opinion as to whether the proposed budget, if it were to be implemented in the form contained in the ""Info"" action, would violate this Constitution.",TRUE,,OK
"In the case of ""Info"" actions that propose a withdrawal from the Cardano Blockchain treasury pursuant to a previously approved budget, Constitutional Committee members shall record a vote on-chain that sets forth their opinion as to whether such proposed withdrawal, if made in accordance with such ""Info"" action, would violate this Constitution.","In the case of ""Info"" actions that propose a withdrawal from the Cardano Blockchain treasury pursuant to a previously approved budget, Constitutional Committee members shall record a vote on-chain that sets forth their opinion as to whether such proposed withdrawal, if made in accordance with such ""Info"" action, would violate this Constitution.",TRUE,,OK
Section 5,Section 4,FALSE,,OK
"The Constitutional Committee shall be considered to be in one of the following two states at all times: a state of confidence or a state of no-confidence. In a state of no-confidence, members of the then standing Constitutional Committee must be reinstated or replaced using the ""Update committee/threshold"" governance action before any other on-chain governance action, other than ""Info"" actions, may go forward. During a state of no-confidence, ""Info"" actions other than ""Info"" actions relating to budget proposals or treasury withdrawal proposals, may continue to be recorded on-chain.","The Constitutional Committee shall be considered to be in one of the following two states at all times: a state of confidence or a state of no-confidence. In a state of no-confidence, members of the then standing Constitutional Committee must be reinstated or replaced using the ""Update committee/threshold"" governance action before any other on-chain governance action, other than ""Info"" actions, may go forward. During a state of no-confidence, ""Info"" actions other than ""Info"" actions relating to budget proposals or treasury withdrawal proposals, may continue to be recorded on-chain.",TRUE,,OK
"If a member of the Constitutional Committee is not carrying out its responsibilities as required by this Constitution, as so determined by a requisite percentage as specified by the Guardrails of SPOs and DReps, voting separately pursuant to an ""Update Constitutional Committee/threshold and/or term"" governance action, such member shall be removed from the Constitutional Committee upon the implementation of the governance action. Thereafter, an election shall be held as soon as practical to replace the member so removed.","If a member of the Constitutional Committee is not carrying out its responsibilities as required by this Constitution, as so determined by a requisite percentage as specified by the Guardrails of SPOs and DReps, voting separately pursuant to an ""Update Constitutional Committee/threshold and/or term"" governance action, such member shall be removed from the Constitutional Committee upon the implementation of the governance action. Thereafter, an election shall be held as soon as practical to replace the member so removed.",TRUE,,OK
"In the event of a ""Motion of no confidence"" governance action to remove all members of the Constitutional Committee at the same time, that is approved by a requisite percentage as specified by the Guardrails of DReps and SPOs, upon implementation of the governance action, the Constitutional Committee shall be considered to be a state of no-confidence until such time as an election has been held either to reinstate the existing Constitutional Committee members in whole or in part, or to elect new Constitutional Committee members.","In the event of a ""Motion of no confidence"" governance action to remove all members of the Constitutional Committee at the same time, that is approved by a requisite percentage as specified by the Guardrails of DReps and SPOs, upon implementation of the governance action, the Constitutional Committee shall be considered to be a state of no-confidence until such time as an election has been held either to reinstate the existing Constitutional Committee members in whole or in part, or to elect new Constitutional Committee members.",TRUE,,OK
Section 6,Section 5,FALSE,,OK
"Constitutional Committee processes shall be transparent. The Constitutional Committee shall publish each decision. When voting that a governance action proposed to be executed on-chain is unconstitutional, the Constitutional Committee collectively, or each member of the Constitutional Committee casting such a vote separately, shall set forth the basis for its decision with reference to specific Articles of this Constitution or provisions of the Cardano Blockchain Guardrails Appendix that are in conflict with a given proposal. Internal deliberations among members of the Constitutional Committee, prior to casting votes, are not required to be publicly disclosed.","Constitutional Committee processes shall be transparent. The Constitutional Committee shall publish each decision. When voting that a governance action proposed to be executed on-chain is unconstitutional, the Constitutional Committee collectively, or each member of the Constitutional Committee casting such a vote separately, shall set forth the basis for its decision with reference to specific Articles of this Constitution or provisions of the Cardano Blockchain Guardrails Appendix that are in conflict with a given proposal. Internal deliberations among members of the Constitutional Committee, prior to casting votes, are not required to be publicly disclosed.",TRUE,,OK
The Constitutional Committee shall operate pursuant to a code of conduct periodically adopted and published by the Constitutional Committee. The Constitutional Committee is encouraged to include ethical guidelines in its code of conduct. The Constitutional Committee shall periodically adopt and publish such policies and procedures as the Constitutional Committee shall deem necessary in carrying out its duties.,The Constitutional Committee shall operate pursuant to a code of conduct periodically adopted and published by the Constitutional Committee. The Constitutional Committee is encouraged to include ethical guidelines in its code of conduct. The Constitutional Committee shall periodically adopt and publish such policies and procedures as the Constitutional Committee shall deem necessary in carrying out its duties.,TRUE,,OK
Section 7,-,FALSE,,OK
"The Cardano Community is expected to support the creation, maintenance and ongoing administration of tools as may be necessary and appropriate for the Constitutional Committee to perform its required functions.",-,FALSE,"ARTICLE V Section 4, ARTICLE VII Section 3, and Section 7, which state our expectations of the Cardano community, will be consolidated into ARTICLE III Section 6.",OK
Section 8,Section 6,FALSE,,OK
Constitutional Committee members may be compensated for their efforts as members of the Constitutional Committee. Constitutional Committee members shall ensure that any compensation received in connection with their activities as a member is disclosed. Budgets approved for the Cardano Blockchain ecosystem may include allocations from the Cardano Blockchain treasury sufficient to compensate Constitutional Committee members in such amounts as may be approved from time to time by ada owners. Cardano Blockchain ecosystem budgets shall provide for periodic administrative costs of the Constitutional Committee in such amounts as requested from time to time by the Constitutional Committee and as approved by ada owners.,Constitutional Committee members may be compensated for their efforts as members of the Constitutional Committee. Constitutional Committee members shall ensure that any compensation received in connection with their activities as a member is disclosed. Budgets approved for the Cardano Blockchain ecosystem may include allocations from the Cardano Blockchain treasury sufficient to compensate Constitutional Committee members in such amounts as may be approved from time to time by ada owners. Cardano Blockchain ecosystem budgets shall provide for periodic administrative costs of the Constitutional Committee in such amounts as requested from time to time by the Constitutional Committee and as approved by ada owners.,TRUE,,OK
Section 9,-,FALSE,,OK
"Constitutional Committee members who are also acting as DReps, as SPOs, or both, shall publicly disclose that they are participating in on-chain governance actions in more than one such capacity prior to voting with respect to on-chain governance actions.",-,FALSE,The provisions of ARTICLE VII.Section 9 and ARTICLE VI Section 4 will be consolidated and set forth in ARTICLE III Section 2.,OK
ARTICLE VIII. AMENDMENT PROCESS,ARTICLE VIII. AMENDMENT PROCESS,TRUE,ARTICLE VIII. AMENDMENT PROCESS,
Section 1,Section 1,TRUE,Section 1,
"This Constitution should be treated as a living document. Technical advancements, changes in the desires, needs and expectations of the Cardano Community, and unforeseen circumstances may give rise to the need in the future to amend this Constitution. The Cardano Community is encouraged to periodically review and debate its provisions, and when so desired, come together in such forums as the Cardano Community may deem appropriate, to propose amendments to this Constitution. Amendments may be made as provided in this Article VIII.","This Constitution should be treated as a living document. The Cardano Community is encouraged to periodically review and debate its provisions, and when so desired, come together in such forums as the Cardano Community may deem appropriate, to propose amendments to this Constitution. The threshold required to amend this constitution is set out in the Cardano Blockchain Guardrails Appendix. If not specified in the Cardano Blockchain Guardrails Appendix, approval of a threshold of no less than 65% of the then active voting stake is required.",FALSE,"Technical advancements, changes in the desires, needs and expectations of the Cardano Community, and unforeseen circumstances may give rise to the need in the future to amend this Constitution. ：This repeats the previous sentence. Delete it.

Amendments may be made as provided in this Article VIII.：To be consistent with this, it would have to be at the end of every section. It doesn't make sense, so delete it.
",
Section 2,-,FALSE,-,
"Except as otherwise so provided in the Cardano Blockchain Guardrails Appendix, amendments to this Constitution, including to the Cardano Blockchain Guardrails Appendix, shall be approved by a collective decision-making process, requiring an on-chain governance action by owners of ada satisfying a threshold of no less than 65% of the then active voting stake.",-,FALSE,"Sections 2 and 3 can be expressed more simply as follows. This will be added to Section 1.

The threshold required to amend this constitution is set out in the Cardano Blockchain Guardrails Appendix. If not specified in the Cardano Blockchain Guardrails Appendix, approval of a threshold of no less than 65% of the then active voting stake is required.",
Section 3,-,FALSE,-,
"If the Cardano Blockchain Guardrails Appendix sets forth an amendment threshold for a Guardrail that is different than the amendment threshold contained in Section 2 of this Article VIII, then the threshold set forth in the Cardano Blockchain Guardrails Appendix for such Guardrail shall apply.",-,FALSE,"Sections 2 and 3 can be expressed more simply as follows. This will be added to Section 1.

The threshold required to amend this constitution is set out in the Cardano Blockchain Guardrails Appendix. If not specified in the Cardano Blockchain Guardrails Appendix, approval of a threshold of no less than 65% of the then active voting stake is required.",
APPENDIX I: CARDANO BLOCKCHAIN GUARDRAILS,APPENDIX I: CARDANO BLOCKCHAIN GUARDRAILS,,0.APPENDIX,
1. Introduction,1. Introduction,,0.APPENDIX,
"To implement Cardano Blockchain on-chain governance, it is necessary to establish sensible Guardrails that will enable the Cardano Blockchain to continue to operate in a secure and sustainable way.","To implement Cardano Blockchain on-chain governance, it is necessary to establish sensible Guardrails that will enable the Cardano Blockchain to continue to operate in a secure and sustainable way.",,0.APPENDIX,
"This Appendix sets forth Guardrails that must be applied to Cardano Blockchain on-chain governance actions, including changes to the protocol parameters and limits on treasury withdrawals. These Guardrails cover both essential, intrinsic limits on settings, and recommendations that are based on experience, measurement and governance objectives.","This Appendix sets forth Guardrails that must be applied to Cardano Blockchain on-chain governance actions, including changes to the protocol parameters and limits on treasury withdrawals. These Guardrails cover both essential, intrinsic limits on settings, and recommendations that are based on experience, measurement and governance objectives.",,0.APPENDIX,
"These Guardrails are designed to avoid unexpected problems with the operation of the Cardano Blockchain. They are intended to guide the choice of sensible parameter settings and avoid potential problems with security, performance, functionality or long-term sustainability. As described below, some of these Guardrails are automatable and will be enforced via an on-chain Guardrails Script or built-in ledger rules.","These Guardrails are designed to avoid unexpected problems with the operation of the Cardano Blockchain. They are intended to guide the choice of sensible parameter settings and avoid potential problems with security, performance, functionality or long-term sustainability. As described below, some of these Guardrails are automatable and will be enforced via an on-chain Guardrails Script or built-in ledger rules.",,0.APPENDIX,
These Guardrails apply only to the Cardano Blockchain Layer 1 mainnet environment. They are not intended to apply to test environments or to other blockchains that use Cardano Blockchain software.,These Guardrails apply only to the Cardano Blockchain Layer 1 mainnet environment. They are not intended to apply to test environments or to other blockchains that use Cardano Blockchain software.,,0.APPENDIX,
"Not all parameters for the Cardano Blockchain can be considered independently. Some parameters interact with other settings in an intrinsic way. Where known, these interactions are addressed in this Appendix.","Not all parameters for the Cardano Blockchain can be considered independently. Some parameters interact with other settings in an intrinsic way. Where known, these interactions are addressed in this Appendix.",,0.APPENDIX,
"While the Guardrails in this Appendix presently reflect the current state of technical insight, this Appendix should be treated as a living document. Implementation improvements, new simulations or performance evaluation results for the Cardano Blockchain may allow some of the restrictions contained in these Guardrails to be relaxed (or, in some circumstances, require them to be tightened) in due course.","While the Guardrails in this Appendix presently reflect the current state of technical insight, this Appendix should be treated as a living document. Implementation improvements, new simulations or performance evaluation results for the Cardano Blockchain may allow some of the restrictions contained in these Guardrails to be relaxed (or, in some circumstances, require them to be tightened) in due course.",,0.APPENDIX,
"Additional Guardrails may also be needed where, for example, new protocol parameters are introduced.","Additional Guardrails may also be needed where, for example, new protocol parameters are introduced.",,0.APPENDIX,
"Amending, Adding or Deprecating Guardrails","Amending, Adding or Deprecating Guardrails",,0.APPENDIX,
"The Guardrails set forth in this Appendix may be amended from time to time pursuant to an on-chain governance action that satisfies the applicable voting threshold as set forth in this Appendix. Any such amendment to any Guardrails shall require and be deemed to be an amendment to the Constitution itself, including any new Guardrails. Each Guardrail has a unique label. If the text of a Guardrail is amended, the existing Guardrail will be deprecated and a new label will be used in this Appendix. Similarly, if a Guardrail is completely deprecated, its label will never be reused in the future. In all cases, the Guardrails that apply to a governance action will be those in force at the time that the governance action is submitted on chain, regardless of any later amendments.","The Guardrails set forth in this Appendix may be amended from time to time pursuant to an on-chain governance action that satisfies the applicable voting threshold as set forth in this Appendix. Any such amendment to any Guardrails shall require and be deemed to be an amendment to the Constitution itself, including any new Guardrails. Each Guardrail has a unique label. If the text of a Guardrail is amended, the existing Guardrail will be deprecated and a new label will be used in this Appendix. Similarly, if a Guardrail is completely deprecated, its label will never be reused in the future. In all cases, the Guardrails that apply to a governance action will be those in force at the time that the governance action is submitted on chain, regardless of any later amendments.",,0.APPENDIX,
Terminology and Guidance,Terminology and Guidance,,0.APPENDIX,
"Should/Should not. Where this Appendix says that a value ""should not"" be set below or above some value, this means that the Guardrail is a recommendation or guideline, and the specific value could be open to discussion or alteration by a suitably expert group recognized by the Cardano Community in light of experience with the Cardano Blockchain governance system or the operation of the Cardano Blockchain.","Should/Should not. Where this Appendix says that a value ""should not"" be set below or above some value, this means that the Guardrail is a recommendation or guideline, and the specific value could be open to discussion or alteration by a suitably expert group recognized by the Cardano Community in light of experience with the Cardano Blockchain governance system or the operation of the Cardano Blockchain.",,0.APPENDIX,
"Must/Must not. Where this Appendix says that a value ""must"" or ""must not"" be set below or above some value, this means that the Guardrail is a requirement that will be enforced by Cardano Blockchain ledger rules, types or other built-in mechanisms where possible, and that if not followed could cause a protocol failure, security breach or other undesirable outcome.","Must/Must not. Where this Appendix says that a value ""must"" or ""must not"" be set below or above some value, this means that the Guardrail is a requirement that will be enforced by Cardano Blockchain ledger rules, types or other built-in mechanisms where possible, and that if not followed could cause a protocol failure, security breach or other undesirable outcome.",,0.APPENDIX,
"Benchmarking. Benchmarking refers to careful system level performance evaluation that is designed to show a priori that, for example, 95% of blocks will be diffused across a global network of Cardano Blockchain nodes within the required 5s time interval in all cases. This may require construction of specific test workflows and execution on a large test network of Cardano Blockchain nodes, simulating a global Cardano Blockchain network.","Benchmarking. Benchmarking refers to careful system level performance evaluation that is designed to show a priori that, for example, 95% of blocks will be diffused across a global network of Cardano Blockchain nodes within the required 5s time interval in all cases. This may require construction of specific test workflows and execution on a large test network of Cardano Blockchain nodes, simulating a global Cardano Blockchain network.",,0.APPENDIX,
"Performance analysis. Performance analysis refers to projecting theoretical performance, empirical benchmarking or simulation results to predict actual system behavior. For example, performance results obtained from tests in a controlled test environment (such as a collection of data centers with known networking properties) may be extrapolated to inform likely performance behavior in a real Cardano Blockchain network environment.","Performance analysis. Performance analysis refers to projecting theoretical performance, empirical benchmarking or simulation results to predict actual system behavior. For example, performance results obtained from tests in a controlled test environment (such as a collection of data centers with known networking properties) may be extrapolated to inform likely performance behavior in a real Cardano Blockchain network environment.",,0.APPENDIX,
"Simulation. Simulation refers to synthetic execution that is designed to inform performance/functionality decisions in a repeatable way. For example, the IOSim Cardano Blockchain module allows the operation of the networking stack to be simulated in a controlled and repeatable way, allowing issues to be detected before code deployment.","Simulation. Simulation refers to synthetic execution that is designed to inform performance/functionality decisions in a repeatable way. For example, the IOSim Cardano Blockchain module allows the operation of the networking stack to be simulated in a controlled and repeatable way, allowing issues to be detected before code deployment.",,0.APPENDIX,
"Performance Monitoring. Performance monitoring involves measuring the actual behavior of the Cardano Blockchain network, for example, by using timing probes to evaluate round-trip times, or test blocks to assess overall network health. It complements benchmarking and performance analysis by providing information about actual system behavior that cannot be obtained using simulated workloads or theoretical analysis.","Performance Monitoring. Performance monitoring involves measuring the actual behavior of the Cardano Blockchain network, for example, by using timing probes to evaluate round-trip times, or test blocks to assess overall network health. It complements benchmarking and performance analysis by providing information about actual system behavior that cannot be obtained using simulated workloads or theoretical analysis.",,0.APPENDIX,
"Reverting Changes. Where performance monitoring shows that actual network behavior following a change is inconsistent with the performance requirements for the Cardano Blockchain, then the change must be reverted to its previous state if that is possible. For example, if the block size is increased from 100KB to 120KB and 95% of blocks are no longer diffused within 5s, then a change must be made to revert the block size to 100KB. If this is not possible, then one or more alternative changes must be made that will ensure that the performance requirements are met.","Reverting Changes. Where performance monitoring shows that actual network behavior following a change is inconsistent with the performance requirements for the Cardano Blockchain, then the change must be reverted to its previous state if that is possible. For example, if the block size is increased from 100KB to 120KB and 95% of blocks are no longer diffused within 5s, then a change must be made to revert the block size to 100KB. If this is not possible, then one or more alternative changes must be made that will ensure that the performance requirements are met.",,0.APPENDIX,
"Severity Levels. Issues that affect the Cardano Blockchain network are classified by severity level, where:","Severity Levels. Issues that affect the Cardano Blockchain network are classified by severity level, where:",,0.APPENDIX,
"Severity 1 is a critical incident or issue with very high impact to the security, performance, functionality or long-term sustainability of the Cardano Blockchain network","Severity 1 is a critical incident or issue with very high impact to the security, performance, functionality or long-term sustainability of the Cardano Blockchain network",,0.APPENDIX,
"Severity 2 is a major incident or issue with significant impact to the security, performance, functionality or long-term sustainability of the Cardano Blockchain network","Severity 2 is a major incident or issue with significant impact to the security, performance, functionality or long-term sustainability of the Cardano Blockchain network",,0.APPENDIX,
"Severity 3 is a minor incident or issue with low impact to the security, performance, functionality or long-term sustainability of the Cardano Blockchain network","Severity 3 is a minor incident or issue with low impact to the security, performance, functionality or long-term sustainability of the Cardano Blockchain network",,0.APPENDIX,
"Future Performance Requirements. Planned development such as new mechanisms for out of memory storage may impact block diffusion or other times. When changing parameters, it is necessary to consider these future performance requirements as well as the current operation of the Cardano Blockchain. Until development is complete, the requirements will be conservative but may then be relaxed to account for actual timing behavior.","Future Performance Requirements. Planned development such as new mechanisms for out of memory storage may impact block diffusion or other times. When changing parameters, it is necessary to consider these future performance requirements as well as the current operation of the Cardano Blockchain. Until development is complete, the requirements will be conservative but may then be relaxed to account for actual timing behavior.",,0.APPENDIX,
"Automated Checking (""Guardrails Script"")","Automated Checking (""Guardrails Script"")",,0.APPENDIX,
"A script hash is associated with the Constitution hash when a New Constitution or Guardrails Script governance action is enacted. It acts as an additional safeguard to the ledger rules and types, filtering non-compliant governance actions.","A script hash is associated with the Constitution hash when a New Constitution or Guardrails Script governance action is enacted. It acts as an additional safeguard to the ledger rules and types, filtering non-compliant governance actions.",,0.APPENDIX,
The Guardrails Script only affects two types of governance actions:,The Guardrails Script only affects two types of governance actions:,,0.APPENDIX,
"Parameter Update actions, and","Parameter Update actions, and",,0.APPENDIX,
Treasury Withdrawal actions.,Treasury Withdrawal actions.,,0.APPENDIX,
"The Guardrails Script is executed when either of these types of governance action is submitted on-chain. This avoids scenarios where, for example, an erroneous script could prevent the Cardano Blockchain from ever enacting a Hard Fork action, resulting in deadlock. There are three different situations that apply to Guardrail Script usage.","The Guardrails Script is executed when either of these types of governance action is submitted on-chain. This avoids scenarios where, for example, an erroneous script could prevent the Cardano Blockchain from ever enacting a Hard Fork action, resulting in deadlock. There are three different situations that apply to Guardrail Script usage.",,0.APPENDIX,
Symbol and Explanation,Symbol and Explanation,,0.APPENDIX,
(y) The Guardrail Script can be used to enforce the Guardrail,(y) The Guardrail Script can be used to enforce the Guardrail,,0.APPENDIX,
(x) The Guardrail Script cannot be used to enforce the Guardrail,(x) The Guardrail Script cannot be used to enforce the Guardrail,,0.APPENDIX,
"(~ - reason) The Guardrail Script cannot be used to enforce the Guardrail for the reason given, but future ledger changes could enable this.","(~ - reason) The Guardrail Script cannot be used to enforce the Guardrail for the reason given, but future ledger changes could enable this.",,0.APPENDIX,
"Guardrails may overlap: in this case, the most restrictive set of Guardrails will apply.","Guardrails may overlap: in this case, the most restrictive set of Guardrails will apply.",,0.APPENDIX,
"Where a parameter is not explicitly listed in this document, then the Guardrail Script must not permit any changes to the parameter.","Where a parameter is not explicitly listed in this document, then the Guardrail Script must not permit any changes to the parameter.",,0.APPENDIX,
"Conversely, where a parameter is explicitly listed in this document but no checkable Guardrails are specified, the Guardrail Script must not impose any constraints on changes to the parameter.","Conversely, where a parameter is explicitly listed in this document but no checkable Guardrails are specified, the Guardrail Script must not impose any constraints on changes to the parameter.",,0.APPENDIX,
2. Guardrails and Guidelines on Protocol Parameter Update Actions,2. Guardrails and Guidelines on Protocol Parameter Update Actions,,0.APPENDIX,
Below are Guardrails and guidelines for changing updatable protocol parameter settings via the protocol parameter update governance action such that the Cardano Blockchain is never in an unrecoverable state as a result of such changes.,Below are Guardrails and guidelines for changing updatable protocol parameter settings via the protocol parameter update governance action such that the Cardano Blockchain is never in an unrecoverable state as a result of such changes.,,0.APPENDIX,
"Note that, to avoid ambiguity, this Appendix uses the parameter name that is used in protocol parameter update governance actions rather than any other convention.","Note that, to avoid ambiguity, this Appendix uses the parameter name that is used in protocol parameter update governance actions rather than any other convention.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
PARAM-01 (y) Any protocol parameter that is not explicitly named in this document must not be changed by a Parameter update governance action,PARAM-01 (y) Any protocol parameter that is not explicitly named in this document must not be changed by a Parameter update governance action,,0.APPENDIX,
"PARAM-02a (y) Where a protocol parameter is explicitly listed in this document but no checkable Guardrails are specified, the Guardrails Script must not impose any constraints on changes to the parameter. Checkable Guardrails are shown by a (y)","PARAM-02a (y) Where a protocol parameter is explicitly listed in this document but no checkable Guardrails are specified, the Guardrails Script must not impose any constraints on changes to the parameter. Checkable Guardrails are shown by a (y)",,0.APPENDIX,
2.1. Critical Protocol Parameters,2.1. Critical Protocol Parameters,,0.APPENDIX,
The below protocol parameters are critical from a security point of view.,The below protocol parameters are critical from a security point of view.,,0.APPENDIX,
Parameters that are Critical to the Operation of the Blockchain,Parameters that are Critical to the Operation of the Blockchain,,0.APPENDIX,
maximum block body size (maxBlockBodySize),maximum block body size (maxBlockBodySize),,0.APPENDIX,
maximum transaction size (maxTxSize),maximum transaction size (maxTxSize),,0.APPENDIX,
maximum block header size (maxBlockHeaderSize),maximum block header size (maxBlockHeaderSize),,0.APPENDIX,
maximum size of a serialized asset value (maxValueSize),maximum size of a serialized asset value (maxValueSize),,0.APPENDIX,
maximum script execution/memory units in a single block (maxBlockExecutionUnits[steps/memory]),maximum script execution/memory units in a single block (maxBlockExecutionUnits[steps/memory]),,0.APPENDIX,
minimum fee coefficient (txFeePerByte),minimum fee coefficient (txFeePerByte),,0.APPENDIX,
minimum fee constant (txFeeFixed),minimum fee constant (txFeeFixed),,0.APPENDIX,
minimum fee per byte for reference scripts (minFeeRefScriptCoinsPerByte),minimum fee per byte for reference scripts (minFeeRefScriptCoinsPerByte),,0.APPENDIX,
minimum lovelace deposit per byte of serialized UTxO (utxoCostPerByte),minimum lovelace deposit per byte of serialized UTxO (utxoCostPerByte),,0.APPENDIX,
governance action deposit (govDeposit),governance action deposit (govDeposit),,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"PARAM-03a (y) Critical protocol parameters require an SPO vote in addition to a DRep vote: SPOs must say ""yes"" with a collective support of more than 50% of all active block production stake. This is enforced by the Guardrails on the stake pool voting threshold.","PARAM-03a (y) Critical protocol parameters require an SPO vote in addition to a DRep vote: SPOs must say ""yes"" with a collective support of more than 50% of all active block production stake. This is enforced by the Guardrails on the stake pool voting threshold.",,0.APPENDIX,
PARAM-04a (x) At least 3 months should normally pass between the publication of an off-chain proposal to change a critical protocol parameter and the submission of the corresponding on-chain governance action. This Guardrail may be relaxed in the event of a Severity 1 or Severity 2 network issue following careful technical discussion and evaluation.,PARAM-04a (x) At least 3 months should normally pass between the publication of an off-chain proposal to change a critical protocol parameter and the submission of the corresponding on-chain governance action. This Guardrail may be relaxed in the event of a Severity 1 or Severity 2 network issue following careful technical discussion and evaluation.,,0.APPENDIX,
Parameters that are Critical to the Governance System,Parameters that are Critical to the Governance System,,0.APPENDIX,
delegation key lovelace deposit (stakeAddressDeposit),delegation key lovelace deposit (stakeAddressDeposit),,0.APPENDIX,
pool registration lovelace deposit (stakePoolDeposit),pool registration lovelace deposit (stakePoolDeposit),,0.APPENDIX,
minimum fixed rewards cut for pools (minPoolCost),minimum fixed rewards cut for pools (minPoolCost),,0.APPENDIX,
DRep deposit amount (dRepDeposit),DRep deposit amount (dRepDeposit),,0.APPENDIX,
minimal Constitutional Committee size (committeeMinSize),minimal Constitutional Committee size (committeeMinSize),,0.APPENDIX,
maximum term length (in epochs) for the Constitutional Committee members (committeeMaxTermLength),maximum term length (in epochs) for the Constitutional Committee members (committeeMaxTermLength),,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"PARAM-05a (y) DReps must vote ""yes"" with a collective support of more than 50% of all active voting stake. This is enforced by the Guardrails on the DRep voting thresholds.","PARAM-05a (y) DReps must vote ""yes"" with a collective support of more than 50% of all active voting stake. This is enforced by the Guardrails on the DRep voting thresholds.",,0.APPENDIX,
PARAM-06a (x) At least 3 months should normally pass between the publication of an off-chain proposal to change a parameter that is critical to the governance system and the submission of the corresponding on-chain governance action. This Guardrail may be relaxed in the event of a Severity 1 or Severity 2 network issue following careful technical discussion and evaluation.,PARAM-06a (x) At least 3 months should normally pass between the publication of an off-chain proposal to change a parameter that is critical to the governance system and the submission of the corresponding on-chain governance action. This Guardrail may be relaxed in the event of a Severity 1 or Severity 2 network issue following careful technical discussion and evaluation.,,0.APPENDIX,
2.2. Economic Parameters,2.2. Economic Parameters,,0.APPENDIX,
The overall goals when managing economic parameters are to:,The overall goals when managing economic parameters are to:,,0.APPENDIX,
Enable long-term economic sustainability for the Cardano Blockchain;,Enable long-term economic sustainability for the Cardano Blockchain;,,0.APPENDIX,
Ensure that stake pools are adequately rewarded for maintaining the Cardano Blockchain;,Ensure that stake pools are adequately rewarded for maintaining the Cardano Blockchain;,,0.APPENDIX,
